Date,Amount,Category,Description
01-07-2024,1000,Income,Salary
02-07-2024,150,Expense,Groceries
03-07-2024,100,Expense,Transport
04-07-2024,50,Expense,Coffee
05-07-2024,500,Income,Freelance
06-07-2024,200,Expense,Utilities
07-07-2024,400,Income,Investment
08-07-2024,180,Expense,Shopping
09-07-2024,250,Income,Bonus
10-07-2024,80,Expense,Entertainment
11-07-2024,150,Expense,Groceries
12-07-2024,220,Expense,Medical
13-07-2024,1000,Income,Salary
14-07-2024,90,Expense,Transport
15-07-2024,100,Expense,Coffee
